Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
RPL18	ENSG00000063177	19:48615328-48619184:-1	protein_coding	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	.	0	Llonch 2021	1	yes
ISOC2	ENSG00000063241	19:55452985-55462343:-1	protein_coding	isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26278]	.	0	Ntostis 2021	1	yes
EPN1	ENSG00000063245	19:55675226-55709858:1	protein_coding	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	This study	1	.	0	yes
MTMR1	ENSG00000063601	X:150692971-150765108:1	protein_coding	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]	.	0	Barone 2020, Grondahl 2010	2	yes
GPC1	ENSG00000063660	2:240435663-240468076:1	protein_coding	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	This study	1	.	0	yes
RNF4	ENSG00000063978	4:2462220-2515857:1	protein_coding	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	Barone 2020	1	Hamatini 2004	1	no
LIMCH1	ENSG00000064042	4:41359607-41700044:1	protein_coding	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]	.	0	Ntostis 2021	1	yes
TM7SF3	ENSG00000064115	12:26971579-27014434:-1	protein_coding	transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]	Pan 2008, This study	2	Barone 2020	1	no
TAF2	ENSG00000064313	8:119730774-119832863:-1	protein_coding	TATA-box binding protein associated factor 2 [Source:HGNC Symbol;Acc:HGNC:11536]	Barone 2020	1	.	0	yes
RFXANK	ENSG00000064490	19:19192229-19201869:1	protein_coding	regulatory factor X associated ankyrin containing protein [Source:HGNC Symbol;Acc:HGNC:9987]	.	0	Ntostis 2021	1	yes
SLC12A2	ENSG00000064651	5:128083766-128189677:1	protein_coding	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	.	0	Pan 2008	1	yes
DDX20	ENSG00000064703	1:111754832-111775602:1	protein_coding	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]	.	0	Grondahl 2010	1	yes
BTBD1	ENSG00000064726	15:83016423-83067252:-1	protein_coding	BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1120]	.	0	Pan 2008	1	yes
PMS1	ENSG00000064933	2:189784085-189877629:1	protein_coding	PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]	.	0	Hamatini 2004	1	yes
HMG20B	ENSG00000064961	19:3572777-3579088:1	protein_coding	high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]	.	0	Barone 2020	1	yes
ANKS1A	ENSG00000064999	6:34889255-35091406:1	protein_coding	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]	Barone 2020, Yuan 2021	2	Grondahl 2010	1	no
AP3D1	ENSG00000065000	19:2100988-2164468:-1	protein_coding	adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568]	Yuan 2021	1	.	0	yes
BLTP3A	ENSG00000065060	6:34792083-34877514:1	protein_coding	bridge-like lipid transfer protein family member 3A [Source:HGNC Symbol;Acc:HGNC:21216]	This study	1	.	0	yes
GNAI3	ENSG00000065135	1:109548615-109600195:1	protein_coding	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	.	0	Hamatini 2004, Pan 2008	2	yes
IPO5	ENSG00000065150	13:97953658-98024296:1	protein_coding	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]	Llonch 2021	1	.	0	yes
OAT	ENSG00000065154	10:124397303-124418976:-1	protein_coding	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]	.	0	Yuan 2021	1	yes
PKN2	ENSG00000065243	1:88684222-88836255:1	protein_coding	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]	.	0	Grondahl 2010	1	yes
MCM10	ENSG00000065328	10:13161558-13211110:1	protein_coding	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	Hamatini 2004	1	.	0	yes
KARS1	ENSG00000065427	16:75627474-75648643:-1	protein_coding	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	This study	1	.	0	yes
ADAT1	ENSG00000065457	16:75596868-75623300:-1	protein_coding	adenosine deaminase tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]	.	0	Barone 2020	1	yes
TBC1D22B	ENSG00000065491	6:37257772-37332970:1	protein_coding	TBC1 domain family member 22B [Source:HGNC Symbol;Acc:HGNC:21602]	This study	1	.	0	yes
NDUFB4	ENSG00000065518	3:120596328-120602507:1	protein_coding	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	Pan 2008	1	Ntostis 2021	1	no
ZC3H15	ENSG00000065548	2:186486253-186509361:1	protein_coding	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]	.	0	Grondahl 2010	1	yes
MAP2K4	ENSG00000065559	17:12020829-12143830:1	protein_coding	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	This study	1	.	0	yes
SNAP91	ENSG00000065609	6:83552880-83709691:-1	protein_coding	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	.	0	Pan 2008	1	yes
SLK	ENSG00000065613	10:103967140-104029233:1	protein_coding	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]	This study	1	.	0	yes
MTHFD2	ENSG00000065911	2:74186172-74217565:1	protein_coding	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	.	0	Pan 2008	1	yes
SLC9A7	ENSG00000065923	X:46599251-46759118:-1	protein_coding	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	Barone 2020	1	.	0	yes
YBX1	ENSG00000065978	1:42682418-42703805:1	protein_coding	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]	Grondahl 2010	1	.	0	yes
SMARCD1	ENSG00000066117	12:50085200-50100707:1	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:HGNC Symbol;Acc:HGNC:11106]	Barone 2020	1	.	0	yes
KDM4A	ENSG00000066135	1:43650149-43705518:1	protein_coding	lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]	Barone 2020	1	.	0	yes
NFYC	ENSG00000066136	1:40691648-40771603:1	protein_coding	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	This study	1	.	0	yes
ZMYND12	ENSG00000066185	1:42430329-42456253:-1	protein_coding	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]	This study	1	.	0	yes
SLC9A3	ENSG00000066230	5:470456-524449:-1	protein_coding	solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]	.	0	Ntostis 2021	1	yes
ASPM	ENSG00000066279	1:197084121-197146694:-1	protein_coding	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	Llonch 2021	1	.	0	yes
ELOVL1	ENSG00000066322	1:43363398-43368074:-1	protein_coding	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	This study	1	.	0	yes
CLDN18	ENSG00000066405	3:137998735-138033655:1	protein_coding	claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]	.	0	This study	1	yes
ATXN3	ENSG00000066427	14:92044496-92106621:-1	protein_coding	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	Barone 2020, This study	2	.	0	yes
GOLGA5	ENSG00000066455	14:92794305-92839947:1	protein_coding	golgin A5 [Source:HGNC Symbol;Acc:HGNC:4428]	Grondahl 2010	1	.	0	yes
FGFR2	ENSG00000066468	10:121478332-121598458:-1	protein_coding	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	Steuerwald 2007	1	Pan 2008	1	no
EML1	ENSG00000066629	14:99737693-99942060:1	protein_coding	EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330]	.	0	Grondahl 2010	1	yes
TRMT11	ENSG00000066651	6:125986479-126203817:1	protein_coding	tRNA methyltransferase 11 homolog [Source:HGNC Symbol;Acc:HGNC:21080]	Barone 2020	1	Grondahl 2010	1	no
THUMPD1	ENSG00000066654	16:20702816-20742084:-1	protein_coding	THUMP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23807]	.	0	Pan 2008	1	yes
ATG2B	ENSG00000066739	14:96279195-96363341:-1	protein_coding	autophagy related 2B [Source:HGNC Symbol;Acc:HGNC:20187]	Barone 2020	1	.	0	yes
MTFR1	ENSG00000066855	8:65644734-65771261:1	protein_coding	mitochondrial fission regulator 1 [Source:HGNC Symbol;Acc:HGNC:29510]	.	0	Grondahl 2010	1	yes
STAG3	ENSG00000066923	7:100177563-100214387:1	protein_coding	STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]	.	0	Llonch 2021, Yuan 2021	2	yes
MYO9A	ENSG00000066933	15:71822291-72118577:-1	protein_coding	myosin IXA [Source:HGNC Symbol;Acc:HGNC:7608]	Llonch 2021	1	.	0	yes
PFKP	ENSG00000067057	10:3066333-3137718:1	protein_coding	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	Steuerwald 2007, This study	2	.	0	yes
IDI1	ENSG00000067064	10:1039152-1049119:-1	protein_coding	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	This study	1	Ntostis 2021	1	no
SP100	ENSG00000067066	2:230415942-230545606:1	protein_coding	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	Barone 2020	1	.	0	yes
NEO1	ENSG00000067141	15:73051710-73305205:1	protein_coding	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]	.	0	Pan 2008	1	yes
TRAM1	ENSG00000067167	8:70573218-70608416:-1	protein_coding	translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]	.	0	Yuan 2021	1	yes
CACNB1	ENSG00000067191	17:39173453-39197702:-1	protein_coding	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	Zhang 2020	1	.	0	yes
EVI5	ENSG00000067208	1:92508696-92792404:-1	protein_coding	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]	Barone 2020	1	.	0	yes
RRP15	ENSG00000067533	1:218285293-218337983:1	protein_coding	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]	.	0	Ntostis 2021	1	yes
DHX8	ENSG00000067596	17:43483865-43610338:1	protein_coding	DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]	Llonch 2021	1	.	0	yes
IDH3G	ENSG00000067829	X:153785766-153794512:-1	protein_coding	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	.	0	Ntostis 2021	1	yes
ROCK1	ENSG00000067900	18:20944612-21111813:-1	protein_coding	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	Llonch 2021	1	.	0	yes
HYAL2	ENSG00000068001	3:50317790-50322782:-1	protein_coding	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	Yuan 2021	1	.	0	yes
HEATR6	ENSG00000068097	17:60041008-60078922:-1	protein_coding	HEAT repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:24076]	Yuan 2021	1	.	0	yes
TFE3	ENSG00000068323	X:49028726-49043410:-1	protein_coding	transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752]	.	0	Barone 2020	1	yes
TBC1D25	ENSG00000068354	X:48539714-48562609:1	protein_coding	TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]	.	0	This study	1	yes
ACSL4	ENSG00000068366	X:109624244-109733403:-1	protein_coding	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	Llonch 2021	1	.	0	yes
INPP5A	ENSG00000068383	10:132537787-132783480:1	protein_coding	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	.	0	Barone 2020	1	yes
GPKOW	ENSG00000068394	X:49113407-49123735:-1	protein_coding	G-patch domain and KOW motifs [Source:HGNC Symbol;Acc:HGNC:30677]	Barone 2020, This study	2	.	0	yes
FTSJ1	ENSG00000068438	X:48476021-48486364:1	protein_coding	FtsJ RNA 2'-O-methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13254]	.	0	Ntostis 2021	1	yes
PRR11	ENSG00000068489	17:59155732-59206709:1	protein_coding	proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619]	Llonch 2021	1	.	0	yes
POLR1A	ENSG00000068654	2:86020216-86106155:-1	protein_coding	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]	Barone 2020	1	.	0	yes
IP6K2	ENSG00000068745	3:48688003-48740353:-1	protein_coding	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	Llonch 2021	1	.	0	yes
SRBD1	ENSG00000068784	2:45388680-45612165:-1	protein_coding	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]	Llonch 2021	1	.	0	yes
RASGRP2	ENSG00000068831	11:64726911-64745456:-1	protein_coding	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	.	0	Ntostis 2021	1	yes
SIRT2	ENSG00000068903	19:38878555-38899862:-1	protein_coding	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	.	0	Ntostis 2021	1	yes
PPP2R5B	ENSG00000068971	11:64917553-64934475:1	protein_coding	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	This study	1	.	0	yes
PYGM	ENSG00000068976	11:64746389-64759974:-1	protein_coding	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	.	0	Ntostis 2021	1	yes
PITX1	ENSG00000069011	5:135027734-135034813:-1	protein_coding	paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]	This study	1	.	0	yes
SDK2	ENSG00000069188	17:73334384-73644445:-1	protein_coding	sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308]	Yuan 2021	1	.	0	yes
NUP133	ENSG00000069248	1:229440259-229508341:-1	protein_coding	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	Llonch 2021	1	.	0	yes
DNAJA2	ENSG00000069345	16:46955362-46973674:-1	protein_coding	DnaJ heat shock protein family (Hsp40) member A2 [Source:HGNC Symbol;Acc:HGNC:14884]	.	0	Pan 2008	1	yes
CLEC2D	ENSG00000069493	12:9664969-9699553:1	protein_coding	C-type lectin domain family 2 member D [Source:HGNC Symbol;Acc:HGNC:14351]	Barone 2020	1	.	0	yes
FUNDC1	ENSG00000069509	X:44523639-44542859:-1	protein_coding	FUN14 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28746]	.	0	Llonch 2021	1	yes
RORA	ENSG00000069667	15:60488284-61229302:-1	protein_coding	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	.	0	Pan 2008, This study	2	yes
TGFBR3	ENSG00000069702	1:91680343-91906335:-1	protein_coding	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	Ntostis 2021	1	Pan 2008	1	no
PLA2G10	ENSG00000069764	16:14672548-14694308:-1	protein_coding	phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029]	.	0	Barone 2020	1	yes
ATP1B3	ENSG00000069849	3:141876124-141926549:1	protein_coding	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	.	0	Barone 2020, Pan 2008	2	yes
NEDD4	ENSG00000069869	15:55826922-55993660:-1	protein_coding	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	This study	1	.	0	yes
PIGB	ENSG00000069943	15:55318960-55355648:1	protein_coding	phosphatidylinositol glycan anchor biosynthesis class B [Source:HGNC Symbol;Acc:HGNC:8959]	.	0	Pan 2008	1	yes
MAPK6	ENSG00000069956	15:51952106-52067375:1	protein_coding	mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]	.	0	Pan 2008	1	yes
RAB27A	ENSG00000069974	15:55202966-55319113:-1	protein_coding	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	.	0	Yuan 2021	1	yes
UFD1	ENSG00000070010	22:19449911-19479202:-1	protein_coding	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]	.	0	Llonch 2021, Ntostis 2021	2	yes
PHRF1	ENSG00000070047	11:576470-612222:1	protein_coding	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]	.	0	Barone 2020	1	yes
ELP1	ENSG00000070061	9:108866898-108934328:-1	protein_coding	elongator acetyltransferase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:5959]	.	0	Llonch 2021, Ntostis 2021	2	yes
NUCB2	ENSG00000070081	11:17208153-17349980:1	protein_coding	nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]	Barone 2020	1	.	0	yes
TMEM260	ENSG00000070269	14:56488354-56650606:1	protein_coding	transmembrane protein 260 [Source:HGNC Symbol;Acc:HGNC:20185]	This study	1	.	0	yes
FSTL3	ENSG00000070404	19:676392-683392:1	protein_coding	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]	Zhang 2020	1	.	0	yes
DGCR2	ENSG00000070413	22:19036282-19122454:-1	protein_coding	DiGeorge syndrome critical region gene 2 [Source:HGNC Symbol;Acc:HGNC:2845]	.	0	Barone 2020	1	yes
RNF126	ENSG00000070423	19:647526-663233:-1	protein_coding	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	Pan 2008	1	.	0	yes
JMJD6	ENSG00000070495	17:76712832-76726799:-1	protein_coding	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	.	0	Barone 2020	1	yes
POLB	ENSG00000070501	8:42338454-42371808:1	protein_coding	DNA polymerase beta [Source:HGNC Symbol;Acc:HGNC:9174]	.	0	Barone 2020, Llonch 2021, Yuan 2021	3	yes
GBA2	ENSG00000070610	9:35736866-35749228:-1	protein_coding	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]	Llonch 2021	1	.	0	yes
AP3M2	ENSG00000070718	8:42152946-42171673:1	protein_coding	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]	Yuan 2021	1	Pan 2008	1	no
PABPC1	ENSG00000070756	8:100685816-100722809:-1	protein_coding	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	Llonch 2021	1	.	0	yes
EIF2B3	ENSG00000070785	1:44850522-44986722:-1	protein_coding	eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]	.	0	Hamatini 2004	1	yes
TCOF1	ENSG00000070814	5:150357629-150400308:1	protein_coding	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]	This study	1	Barone 2020	1	no
CDC42	ENSG00000070831	1:22052627-22101360:1	protein_coding	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	.	0	Barone 2020	1	yes
RAD18	ENSG00000070950	3:8775402-8963773:-1	protein_coding	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	Llonch 2021	1	.	0	yes
TRPM5	ENSG00000070985	11:2404515-2444514:-1	protein_coding	transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	.	0	Ntostis 2021	1	yes
MAP4K4	ENSG00000071054	2:101696850-101894690:1	protein_coding	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	Grondahl 2010	1	.	0	yes
MGAT4A	ENSG00000071073	2:98619106-98731132:-1	protein_coding	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]	Barone 2020	1	Grondahl 2010	1	no
RPL31	ENSG00000071082	2:101002229-101024032:1	protein_coding	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]	Barone 2020	1	.	0	yes
WDR1	ENSG00000071127	4:10068089-10116972:-1	protein_coding	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	Barone 2020	1	Llonch 2021	1	no
ARHGAP10	ENSG00000071205	4:147732063-148072776:1	protein_coding	Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]	Llonch 2021	1	.	0	yes
RPS6KA2	ENSG00000071242	6:166409364-166906451:-1	protein_coding	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	This study	1	.	0	yes
ING3	ENSG00000071243	7:120950763-120977216:1	protein_coding	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	Llonch 2021, Pan 2008	2	Yuan 2021	1	no
TRIP13	ENSG00000071539	5:892884-919357:1	protein_coding	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	.	0	Llonch 2021	1	yes
TCF3	ENSG00000071564	19:1609291-1652615:-1	protein_coding	transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]	.	0	Llonch 2021	1	yes
TRIB2	ENSG00000071575	2:12716910-12742734:1	protein_coding	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	.	0	Pan 2008	1	yes
MBD3	ENSG00000071655	19:1573596-1592865:-1	protein_coding	methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:HGNC:6918]	.	0	Ntostis 2021	1	yes
SLC6A15	ENSG00000072041	12:84859491-84913629:-1	protein_coding	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	.	0	Hamatini 2004	1	yes
PRKACA	ENSG00000072062	19:14091688-14118084:-1	protein_coding	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	Barone 2020, This study	2	.	0	yes
ADGRL1	ENSG00000072071	19:14147743-14206187:-1	protein_coding	adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973]	This study	1	.	0	yes
ZFYVE26	ENSG00000072121	14:67727374-67816590:-1	protein_coding	zinc finger FYVE-type containing 26 [Source:HGNC Symbol;Acc:HGNC:20761]	.	0	Barone 2020	1	yes
EPN2	ENSG00000072134	17:19215615-19336715:1	protein_coding	epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639]	Llonch 2021, Pan 2008	2	.	0	yes
LNX1	ENSG00000072201	4:53459301-53701405:-1	protein_coding	ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657]	Pan 2008	1	.	0	yes
SREBF1	ENSG00000072310	17:17810399-17837002:-1	protein_coding	sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]	Pan 2008	1	.	0	yes
UBE2D1	ENSG00000072401	10:58334979-58370751:1	protein_coding	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	.	0	Llonch 2021, Pan 2008	2	yes
PALS1	ENSG00000072415	14:67240713-67336061:1	protein_coding	protein associated with LIN7 1, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18669]	This study	1	.	0	yes
RHOBTB1	ENSG00000072422	10:60869438-61001440:-1	protein_coding	Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]	.	0	Pan 2008	1	yes
SMC1A	ENSG00000072501	X:53374149-53422728:-1	protein_coding	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	.	0	Grondahl 2010	1	yes
HMMR	ENSG00000072571	5:163460203-163491941:1	protein_coding	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	Llonch 2021	1	.	0	yes
TRHDE	ENSG00000072657	12:72087266-72670758:1	protein_coding	thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]	Barone 2020	1	.	0	yes
ACADVL	ENSG00000072778	17:7217125-7225266:1	protein_coding	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	.	0	Ntostis 2021	1	yes
CRMP1	ENSG00000072832	4:5748084-5893086:-1	protein_coding	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	Zhang 2020	1	Barone 2020	1	no
DERL2	ENSG00000072849	17:5471254-5486811:-1	protein_coding	derlin 2 [Source:HGNC Symbol;Acc:HGNC:17943]	Barone 2020	1	.	0	yes
XRCC1	ENSG00000073050	19:43543311-43580473:-1	protein_coding	X-ray repair cross complementing 1 [Source:HGNC Symbol;Acc:HGNC:12828]	Yuan 2021	1	.	0	yes
SCARB1	ENSG00000073060	12:124776856-124882668:-1	protein_coding	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	Pan 2008, Zhang 2020	2	.	0	yes
LLGL2	ENSG00000073350	17:75525080-75575209:1	protein_coding	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	Ntostis 2021	1	.	0	yes
SDHA	ENSG00000073578	5:218303-257082:1	protein_coding	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	Barone 2020	1	Hamatini 2004, Pan 2008, This study	3	no
SMARCE1	ENSG00000073584	17:40624962-40648654:-1	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	.	0	Barone 2020	1	yes
KDM5A	ENSG00000073614	12:280057-389320:-1	protein_coding	lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]	Yuan 2021	1	.	0	yes
PPP2R3A	ENSG00000073711	3:135965728-136147894:1	protein_coding	protein phosphatase 2 regulatory subunit B''alpha [Source:HGNC Symbol;Acc:HGNC:9307]	Llonch 2021	1	.	0	yes
FERMT2	ENSG00000073712	14:52857268-52952435:-1	protein_coding	FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767]	Yuan 2021	1	Barone 2020	1	no
PTGS2	ENSG00000073756	1:186671791-186680922:-1	protein_coding	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	Barone 2020, Zhang 2020	2	.	0	yes
IGF2BP2	ENSG00000073792	3:185643130-185825042:-1	protein_coding	insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]	.	0	Barone 2020	1	yes
VDAC1P1	ENSG00000073905	X:80929500-80930347:1	processed_pseudogene	voltage dependent anion channel 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12671]	.	0	Ntostis 2021	1	yes
NSF	ENSG00000073969	17:46590669-46757679:1	protein_coding	N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]	Pan 2008	1	Steuerwald 2007	1	no
